county,ded,townland_or_street,townland_to_map_url,townland_to_map
Down,Kilkeel,Kilkeel_Town_Greencastle_Street,http://www.townlands.ie/down/mourne/kilkeel/magheramurphy,Magheramurphy
Down,Kilkeel,Kilkeel_Town_Harbour_Magheramurphy,http://www.townlands.ie/down/mourne/kilkeel/magheramurphy,Magheramurphy
Down,Kilkeel,Kilkeel_Town_Harbour_Road,http://www.townlands.ie/down/mourne/kilkeel/magheramurphy,Magheramurphy
Down,Kilkeel,Kilkeel_Town_Mountain_Road,http://www.townlands.ie/down/mourne/kilkeel/magheramurphy,Magheramurphy
Down,Kilkeel,Kilkeel_Town_Newry_Street,http://www.townlands.ie/down/mourne/kilkeel/magheramurphy,Magheramurphy
Down,Kilkeel,Kilkeel_Town_The_Square,http://www.townlands.ie/down/mourne/kilkeel/magheramurphy,Magheramurphy
Down,Kilkeel,Magheramurphy,http://www.townlands.ie/down/mourne/kilkeel/magheramurphy,Magheramurphy
Down,Kilkeel,Mourne_Mountains_Middle,http://www.townlands.ie/down/mourne/kilkeel/mourne-mountains-middle,Mourne_Mountains_Middle
Down,Kilkeel,Moyad_Upper,http://www.townlands.ie/down/mourne/kilkeel/moyad-upper,Moyad_Upper
Down,Killowen,Ballincurry,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/ballincurry,Ballincurry
Down,Killowen,Ballindoalty,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/ballindoalty,Ballindoalty
Down,Maghera,Carnacarvill,http://www.townlands.ie/down/iveagh-upper-lower-half/maghera/carnacavill,Carnacarvill
Down,Maghera,Newcastle_Town_Shore_Road,http://www.townlands.ie/down/iveagh-upper-lower-half/maghera/murlough-upper,Murlough_Upper
Down,Newcastle,Newcastle_Town_Murlough_Upper,http://www.townlands.ie/down/iveagh-upper-lower-half/maghera/murlough-upper,Murlough_Upper
Down,Newcastle,Newcastle_Town_Shore_Road,http://www.townlands.ie/down/iveagh-upper-lower-half/maghera/murlough-upper,Murlough_Upper
Down,Maghera,Murlough_Upper,http://www.townlands.ie/down/iveagh-upper-lower-half/maghera/murlough-upper,Murlough_Upper
Down,Mourne_Park,Ballyardel,http://www.townlands.ie/down/mourne/kilkeel/ballyardel,Ballyardel
Down,Mourne_Park,Ballyrogan,http://www.townlands.ie/down/mourne/kilkeel/ballyrogan,Ballyrogan
Down,Mourne_Park,Dunnaman,http://www.townlands.ie/down/mourne/kilkeel/dunnaman,Dunnaman
Down,Mullartown,Annalong_Village,http://www.townlands.ie/down/mourne/kilkeel/moneydorragh-more,Moneydorragh_More
Down,Mullartown,Annalong_Village_Quay,http://www.townlands.ie/down/mourne/kilkeel/moneydorragh-more,Moneydorragh_More
Down,Mullartown,Moneydorragh_More,http://www.townlands.ie/down/mourne/kilkeel/moneydorragh-more,Moneydorragh_More
Down,Mullartown,Annalong_Village_Harbour,http://www.townlands.ie/down/mourne/kilkeel/moneydorragh-more,Moneydorragh_More
Down,Mullartown,Moneydorragh_Beg,http://www.townlands.ie/down/mourne/kilkeel/moneydorragh-beg,Moneydorragh_Beg
Down,Mullartown,Moneydorragh_More_Upper,http://www.townlands.ie/down/mourne/kilkeel/moneydorragh-more-upper,Moneydorragh_More_Upper
Down,Rosstrevor,Levallyreagh,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/levallyreagh,Levallyreagh
Down,Rosstrevor,Moygannon,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/moygannon,Moygannon
