,address,city_of_seattle,council_district,hud,name,sha,state_of_wa_or_county,units_with_income_rent_limits,wshfc,year_placed_in_service,zip_code,lat,lng
251,2753 SW MACARTHUR LN, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.54974319999999,-122.3688869
252,5910 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5502363,-122.3704099
253,5912 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5501981,-122.3703952
254,5916 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5501532,-122.3700616
255,5918 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5501358,-122.3700541
256,5920 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5501381,-122.3700155
257,5922 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5501204,-122.3699692
258,5924 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5500994,-122.3698867
259,5926 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5500289,-122.3697811
260,5928 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.55001250000001,-122.369695
261,5930 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5499982,-122.3696386
262,5932 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5498796,-122.369399
263,5934 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5498513,-122.369395
264,5936 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.54981919999999,-122.3693922
265,5938 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5498049,-122.3693263
266,5940 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5497071,-122.3692532
267,5942 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5496765,-122.3692372
268,5944 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5496523,-122.3692055
269,5946 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5496279,-122.3691553
270,5948 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5494838,-122.3690415
271,5950 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5494367,-122.3690431
272,5952 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5491038,-122.3686753
273,5954 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.549091,-122.3686496
274,6000 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5482643,-122.3684995
275,6002 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5482667,-122.3684155
276,6006 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5480875,-122.3684888
277,6008 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5480946,-122.3684187
278,6012 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5479529,-122.3685311
279,6014 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5479169,-122.3685634
280,6018 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5477476,-122.3685697
281,6020 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5477055,-122.3686172
282,6024 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5476026,-122.3687168
283,6026 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.54757799999999,-122.368782
284,6030 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5475171,-122.3688379
285,6032 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.547466,-122.368878
286,6304 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5473344,-122.3688083
287,6306 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5472988,-122.3688413
288,6310 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5470564,-122.3687271
289,6312 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5470489,-122.3687153
290,6314 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.548438,-122.368479
291,6316 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5469905,-122.3685976
292,6322 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.54691,-122.368373
293,6324 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546897,-122.368443
294,6326 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546886,-122.3684989
295,6330 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546834,-122.368684
296,6332 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546767,-122.368671
297,6342 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5465124,-122.3685534
298,6344 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546494,-122.368552
299,6350 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546518,-122.368407
300,6352 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546527,-122.3683399
301,6354 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.54653,-122.368265
302,6362 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546538,-122.368135
303,6364 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546547,-122.368073
304,6366 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546556,-122.3680101
305,6368 HIGH POINT DR SW, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.546565,-122.367956
306,3100 SW RAYMOND ST, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5484768,-122.3723279
307,3102 SW RAYMOND ST, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5484656,-122.3723753
308,3104 SW RAYMOND ST, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5483975,-122.3724336
309,3106 SW RAYMOND ST, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5484625,-122.3725476
310,3108 SW RAYMOND ST, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5484808,-122.3726145
311,3110 SW RAYMOND ST, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5483981,-122.3726672
312,3112 SW RAYMOND ST, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5484511,-122.3726851
313,3114 SW RAYMOND ST, ,1, ,High Point Phase I,X, ,1,X,2006,98126,47.5484567,-122.3728687
